id,name,latitude,lng,review,formatted address,phoneNumber,url,rate,description,image,category
0,The Universal Museum of Art (UMA),2,2,"museum of art, it contains modern patterns of art, ","90 Rue de la Folie M?ricourt, 75011 Paris, France",33148066540,http://www.the-uma.org/,3.7,"Museum whose exhibitions are virtual reality Excellent concept, art becomes accessible everywhere and for free, it's about modern arts",https://www.planetware.com/photos-large/F/france-paris-museums-museum-of-modern-art.jpg,museum
1,Metiers Art Museum,48.8667768,2.355406112,"Converted church with scientific & industrial artworks & artifacts, including Foucault's pendulum.","60 Rue R?aumur, 75003 Paris, France",33153018200,https://www.arts-et-metiers.net/,4.5,"Super educational museum with tons of artifacts to walk you through the history of science, astrology and more",https://i0.wp.com/www.hisour.com/wp-content/uploads/2017/03/Musee-des-arts-et-metiers.jpg?fit=902%2C640&ssl=1,museum
2,Cluny Museum - National Museum of the Middle Ages,48.85066331,2.344048612,"Turreted Gothic mansion housing vast collection of medieval arts, crafts & tapestries.","28 Rue du Sommerard, 75005 Paris, France",33153737800,https://www.musee-moyenage.fr/,4.3," the bests of museums of Paris This museum were the Romain Bath durind the 1th century. It is too one of my favorites, it's historical and old ancient arts, as it's a masterpiece of architecture ",https://i.pinimg.com/originals/cc/8d/f6/cc8df623a6dcb1e83ec0587b3747994b.jpg,museum
3,Museum of the Art and History of Judaism,48.86235795,2.356149597,"Museum in a 17th-century mansion with Jewish religious treasures, plus art by Chagall & Modigliani.","Hªtel de Saint-Aignan, 71 Rue du Temple, 75003 Paris, France",33153018653,http://www.mahj.org/,4.5,"Pretty random collection, not specific to just the history of Jewish people in Paris,France. Lots of historical artifacts and some textiles. Worth dropping by if you've got the museum pass, but you could see everything in about an hour without rushing. ",https://img.ev.mu/images/attractions/4602/960x640/15780.jpg,museum
4,Museum de la Magie,48.85462159,2.360698623,"Museum of Magic, with exhibits about illusionists from the 1700s to today, plus actual magic shows, good for children and who intrested in magic stories","11 Rue Saint-Paul, 75004 Paris, France",33142721326,https://www.museedelamagie.com/,4,"This museum was brilliant. Interesting automata, a decently performed magic show and optical illusions and props. Great value, would highly recommend a visit if in Paris, good for family and friends",https://www.actualites-magiques.fr/wp-content/uploads/2018/11/musee-de-la-magie-720x390.jpg,museum
5,musée dÍhistoire de la médecine,48.85287086,2.34035675,Quaint museum in a century-old digs featuring a broad collection of historical medical instruments.,"12 Rue de l'Äcole de M?decine, 75006 Paris, France",33176531693,http://www.parisdescartes.fr/CULTURE/Musee-d-Histoire-de-la-Medecine,4.5,"An excellent museum that cover the history of the medical field. It is an ideal place to be visited by scholars, students, researchers and anyone who want to widen his knowledge about the development of medical equipment. A nice place for familes and friends who have the interest in Medical History",https://upload.wikimedia.org/wikipedia/commons/0/0d/Mus%C3%A9e_d%27histoire_de_la_m%C3%A9decine_%28Paris%29_02.jpg,museum
6,Picasso Museum Shop,48.86060749,2.361814422,"Snug museum store featuring items based on the works of Pablo Picasso, including clothes & ceramics.","4 Rue de Thorigny, 75003 Paris, France",33158651550,http://www.museepicassoparis.fr/,4.5,"If you don't have time for the museum, the boutique is definitely worth browsing. They have a very good collection of art books, not just those on Picasso... They also have collections of creative interior decoration pieces on sale",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB6oTCzLlnWucZ0SSGVhRGB3bSe3cbiwTlmpycAN2hBYfNGjMmUhzuIzOmtzs6Y_QJ4GU&usqp=CAU,museum
7,Cognacq-Jay Museum,48.85908285,2.36155693,"Collection amassed by founders of La Samaritaine department store, including works by Canaletto.","8 Rue Elzevir, 75003 Paris, France",33140270721,http://www.museecognacqjay.paris.fr/,4.5,"Some nice artwork such as paintings, furniture and porcelain are exhibited. The building good in interior design Free admission. Helpful staff and they have lockers for bags, contains many kinds of arts",https://www.museecognacqjay.paris.fr/sites/default/files/frontpage-slide/background/cognacq-jay_2018_8682_full.jpg,museum
8,The Centre Pompidou,48.8620819,2.352588323,"Architecturally avant-garde complex housing National Museum of Modern Art, library and music center.","Place Georges-Pompidou, 75004 Paris, France",33144781233,https://www.centrepompidou.fr/,4.5,"good for family and friends, architectural Amazing contemporary art museum, with an equally futuristic architecture to match. Great views of the Eiffel Tower at their top floor",https://cdn-imgix.headout.com/tour/14586/TOUR-IMAGE/8fef7b0d-4fed-424a-ab75-7a256715c14b-7983-paris-centre-pompidou-priority-entrance-02.jpg?auto=compress&fm=webp&w=1200&h=750&crop=faces&fit=min,museum
9,Musee d'Orsay,48.86151724,2.326152471,"Major 19th- & 20th-century European art collections housed in a monumental, former railway station.","1 Rue de la L?gion d'Honneur, 75007 Paris, France",33140494814,https://www.musee-orsay.fr/,5,Excellent Museum with a rare collection of paintings and statues You will enjoy its design and the way it was organized,http://courses.rawabi.ps/wp-content/uploads/2020/04/89.jpg,museum
10,The Liberation of Paris Museum - General Leclerc Museum - Jean Moulin Museum,48.83412695,2.331828121,"2 separate museums, documenting the lives of French liberator Leclerc & resistance leader Moulingood choice for kids","4 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris, France",33140643944,http://www.museeliberation-leclerc-moulin.paris.fr/,4.5,"This is a fantastic, free museum The exhibition is extremely detailed and very well curated, with lots of text explanations (from summaries to thorough details), images, audio and video testimonies, original video recordings from the second word war , historical ",https://www.leparisien.fr/resizer/L1uj740t5NjGJnYw9IC-WVA0jhs=/932x582/arc-anglerfish-eu-central-1-prod-leparisien.s3.amazonaws.com/public/TQPIDVOUGQIY4WSZHJU3V66MUY.jpg,museum
