,id,name,latitude,lng,review,formatted address,phoneNumber,url,rate,description,image,category
0,0,The Universal Museum of Art (UMA),2.0,2.0,"museum of art, it contains modern patterns of art, ","90 Rue de la Folie M?ricourt, 75011 Paris, France",33148066540,http://www.the-uma.org/,3.7,"museum whose exhibitions virtual reality excellent concept, art becomes accessible everywhere free, modern artsmuseum art, contains modern patterns art,",https://www.planetware.com/photos-large/F/france-paris-museums-museum-of-modern-art.jpg,museum
1,1,Metiers Art Museum,48.8667768,2.355406112,"Converted church with scientific & industrial artworks & artifacts, including Foucault's pendulum.","60 Rue R?aumur, 75003 Paris, France",33153018200,https://www.arts-et-metiers.net/,4.5,"super educational museum tons artifacts walk history science, astrology moreconverted church scientific & industrial artworks & artifacts, including foucault's pendulum.",https://i0.wp.com/www.hisour.com/wp-content/uploads/2017/03/Musee-des-arts-et-metiers.jpg?fit=902%2C640&ssl=1,museum
2,2,Cluny Museum - National Museum of the Middle Ages,48.85066331,2.344048612,"Turreted Gothic mansion housing vast collection of medieval arts, crafts & tapestries.","28 Rue du Sommerard, 75005 Paris, France",33153737800,https://www.musee-moyenage.fr/,4.3,"bests museums paris museum romain bath durind 1th century. one favorites, historical old ancient arts, masterpiece architecture turreted gothic mansion housing vast collection medieval arts, crafts & tapestries.",https://i.pinimg.com/originals/cc/8d/f6/cc8df623a6dcb1e83ec0587b3747994b.jpg,museum
3,3,Museum of the Art and History of Judaism,48.86235795,2.356149597,"Museum in a 17th-century mansion with Jewish religious treasures, plus art by Chagall & Modigliani.","H¬tel de Saint-Aignan, 71 Rue du Temple, 75003 Paris, France",33153018653,http://www.mahj.org/,4.5,"pretty random collection, specific history jewish people paris,france. lots historical artifacts textiles. worth dropping got museum pass, could see everything hour without rushing. museum 17th-century mansion jewish religious treasures, plus art chagall & modigliani.",https://img.ev.mu/images/attractions/4602/960x640/15780.jpg,museum
4,4,Museum de la Magie,48.85462159,2.360698623,"Museum of Magic, with exhibits about illusionists from the 1700s to today, plus actual magic shows, good for children and who intrested in magic stories","11 Rue Saint-Paul, 75004 Paris, France",33142721326,https://www.museedelamagie.com/,4.0,"museum brilliant. interesting automata, decently performed magic show optical illusions props. great value, would highly recommend visit paris, good family friendsmuseum magic, exhibits illusionists 1700s today, plus actual magic shows, good children intrested magic stories",https://www.actualites-magiques.fr/wp-content/uploads/2018/11/musee-de-la-magie-720x390.jpg,museum
5,5,musΘe d═histoire de la mΘdecine,48.85287086,2.34035675,Quaint museum in a century-old digs featuring a broad collection of historical medical instruments.,"12 Rue de l'─cole de M?decine, 75006 Paris, France",33176531693,http://www.parisdescartes.fr/CULTURE/Musee-d-Histoire-de-la-Medecine,4.5,"excellent museum cover history medical field. ideal place visited scholars, students, researchers anyone want widen knowledge development medical equipment. nice place familes friends interest medical historyquaint museum century-old digs featuring broad collection historical medical instruments.",https://upload.wikimedia.org/wikipedia/commons/0/0d/Mus%C3%A9e_d%27histoire_de_la_m%C3%A9decine_%28Paris%29_02.jpg,museum
6,6,Picasso Museum Shop,48.86060749,2.361814422,"Snug museum store featuring items based on the works of Pablo Picasso, including clothes & ceramics.","4 Rue de Thorigny, 75003 Paris, France",33158651550,http://www.museepicassoparis.fr/,4.5,"time museum, boutique definitely worth browsing. good collection art books, picasso... also collections creative interior decoration pieces salesnug museum store featuring items based works pablo picasso, including clothes & ceramics.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB6oTCzLlnWucZ0SSGVhRGB3bSe3cbiwTlmpycAN2hBYfNGjMmUhzuIzOmtzs6Y_QJ4GU&usqp=CAU,museum
7,7,Cognacq-Jay Museum,48.85908285,2.36155693,"Collection amassed by founders of La Samaritaine department store, including works by Canaletto.","8 Rue Elzevir, 75003 Paris, France",33140270721,http://www.museecognacqjay.paris.fr/,4.5,"nice artwork paintings, furniture porcelain exhibited. building good interior design free admission. helpful staff lockers bags, contains many kinds artscollection amassed founders la samaritaine department store, including works canaletto.",https://www.museecognacqjay.paris.fr/sites/default/files/frontpage-slide/background/cognacq-jay_2018_8682_full.jpg,museum
8,8,The Centre Pompidou,48.8620819,2.352588323,"Architecturally avant-garde complex housing National Museum of Modern Art, library and music center.","Place Georges-Pompidou, 75004 Paris, France",33144781233,https://www.centrepompidou.fr/,4.5,"good family friends, architectural amazing contemporary art museum, equally futuristic architecture match. great views eiffel tower top floorarchitecturally avant-garde complex housing national museum modern art, library music center.",https://cdn-imgix.headout.com/tour/14586/TOUR-IMAGE/8fef7b0d-4fed-424a-ab75-7a256715c14b-7983-paris-centre-pompidou-priority-entrance-02.jpg?auto=compress&fm=webp&w=1200&h=750&crop=faces&fit=min,museum
9,9,Musee d'Orsay,48.86151724,2.326152471,"Major 19th- & 20th-century European art collections housed in a monumental, former railway station.","1 Rue de la L?gion d'Honneur, 75007 Paris, France",33140494814,https://www.musee-orsay.fr/,5.0,"excellent museum rare collection paintings statues enjoy design way organizedmajor 19th- & 20th-century european art collections housed monumental, former railway station.",http://courses.rawabi.ps/wp-content/uploads/2020/04/89.jpg,museum
