,id,name,city,rating,Reviews
0,0,La Meduse,Paris,5.0,cant figure outside the... cosy little restaurant border ca...
1,1,Le Cappiello,Paris,5.0,incredible! amazing food wonderful atmosphere!
2,2,ASPIC,Paris,5.0,second time good best dinner paris far
3,3,Les Apotres de Pigalle,Paris,5.0,wonderful culinary experience must go restaurant paris
4,4,Epicure,Paris,5.0,nice place speechless
5,5,Sourire Le Restaurant,Paris,5.0,great service excellent
6,6,Le Cinq,Paris,4.5,breath taking ambience great service grande birthday celebration
7,7,Il Etait Un Square,Paris,5.0,excellent dining experience great burgers
8,8,Boutary,Paris,5.0,get star 2 reasons fantastic anniversary dinner
9,9,Kei Restaurant,Paris,4.5,amazing!! magnifique
10,10,Le Gabriel,Paris,4.5,perfect parisian dining anniversary fabulous dining
11,11,Bateau le Calife,Paris,4.5,perfect christmas eve excellent
12,12,L'Affineur' Affine,Paris,4.5,awesome place delicious
13,13,La Bonne Excuse,Paris,4.5,delicious meal charming restaurant superb meal
14,14,Pur' - Jean-Francois Rouquette,Paris,4.5,excellent unforgettable experience sumptuous re...
15,15,L'Abeille,Paris,4.5,perfect elegant restaurant
16,16,Alliance,Paris,5.0,superb usual perfect
17,17,Sacree fleur,Paris,4.5,love place excellent
18,18,Le 114 Faubourg,Paris,4.5,incredible food service outstanding lunch
19,19,Restaurant H,Paris,5.0,outstanding meal - innovative cla... experience
20,20,Restaurant L'INITIAL,Paris,4.5,haute cuisine without fuss wonderful dinner!
21,21,Pierre Gagnaire,Paris,4.5,good great name says
22,22,Etude,Paris,4.5,sofisticated experience amazing
23,23,Le Bistrot d'Indochine,Paris,4.5,fantastic! good vietnamese food smaller tab...
24,24,Bar Italia Brasserie,Paris,4.5,xmas party good music atmosphere italian dream come true !!!
25,25,Le Bistrot d'Yves,Paris,4.5,good value premium dining wow wow wow. fabulous bistro!!!
26,26,Flesh Restaurant et Canal Saint Martin,Paris,4.5,delightful food bold meaty flavoursome goodness!
27,27,Paris Picnic,Paris,4.5,perfect large group paris romanticism best
28,28,New Jawad Longchamp,Paris,4.5,delicious indian food good pric... perfect evening
29,29,Fromagerie Danard,Paris,4.5,cheese heaven smile
30,30,Le Clos Y,Paris,4.5,really wonderful gastronomic experience japanese-frenc...
31,31,AlKaram,Paris,4.5,good either quick full mea... birthday
32,32,Cezembre,Paris,4.5,best office christmas party ever! fantastic
33,33,Le George,Paris,4.5,good but... best restuarant paris
34,34,Seb'on,Paris,4.5,one favourite places paris mouth orgasm
35,35,Petite Fleur,Paris,4.5,perfect easy make reser... lovely discovery
36,36,La boite aux lettres,Paris,4.5,lovely place montmartre excellent food personal service
37,37,L'Envie du jour,Paris,4.5,little away tourist circuit... explosions mouth
38,38,Pedzouille,Paris,4.5,great cosy place! super yummy chilled
39,39,Le Taillevent,Paris,4.5,excellent! 2 star experience
40,40,PerBacco,Paris,5.0,ecellent pizzas salad. lovely typical italien pizza restaurant
41,41,Ristorante Lo Spaghettino,Paris,4.5,great atmosphere good
42,42,La Trattoria Dell'isola,Paris,4.5,nice place excellent beautiful love...
43,43,Tous,Paris,4.5,amazing food great service! great food incredibly friendly host...
44,44,Les Canailles,Paris,4.5,fantastic place fav french dans mon quartier
45,45,Pop's,Paris,4.5,amazing food great food
46,46,New York a Paris,Paris,4.5,amazing food excellent service good service excellent diner
47,47,La Petite Rose des Sables,Paris,4.5,lovely owners whole earth... warm welcome paris!
48,48,Pane olio e pomodoro,Paris,4.5,wow best restaurant found st...
49,49,La Veraison,Paris,4.5,best meal weve ever delicious dinner wine
50,50,La Vache et Le Cuisinier,Paris,4.5,wonderful ë█╧go toë█¥ restaurant
51,51,Le Florimond,Paris,4.5,excellent meal new years eve; great gl... unforgettable!
52,52,Happy Caffe,Paris,4.5,fitting name excellent quick lunch stop
53,53,Le Jeroboam,Paris,4.5,one best excellent food great service
54,54,Pizza Julia,Paris,4.5,good great pizza great prices
55,55,Mancini,Paris,4.5,good pizza wow
56,56,Le Chemise,Paris,4.5,simply wow! nice expensive
57,57,Joe Burger,Paris,4.5,yummy burgers! good burgers great prices!
58,58,Bistro Paradis,Paris,4.5,quite creative little restaurant small paradise
59,59,Restaurant Guy Savoy,Paris,4.5,world class dining superb
60,60,Chez Toinette,Paris,4.5,excellent restaurant friendly ser... fantastic!
61,61,Auberge des Pyrenees Cevennes,Paris,4.5,cassoulet fantastic - everyth... memorable culinary experience
62,62,Les Trublions,Paris,4.5,perfect interesting menu great dessert
63,63,Ristorante Al Caratello,Paris,4.5,probably best italian restaurant pa... satisfying meal paris
64,64,Restaurant Mariette,Paris,4.5,flavourful great food superb service
65,65,Chez Trassoudaine,Paris,4.5,dont eat restaurant eat a... excellent
66,66,Invictus,Paris,4.5,divine! delicious friendly inviting
67,67,Les Papilles,Paris,4.5,feeling formulaic one best meals weë█¬ve
68,68,King Marcel - Paris 2eme,Paris,4.5,superburgers! awesome
69,69,Chez Gabrielle,Paris,4.5,perfect meal best meal paris
70,70,Apicius,Paris,4.5,beautiful space excellent service food n... excellent food decor bit top t...
71,71,Papelli,Paris,4.5,delicious pizza tiramisu best
72,72,Ze Kitchen Galerie,Paris,4.5,fantastic beautifully presented tastefully prepared
73,73,L'Oiseau Blanc Restaurant,Paris,4.5,delicious deserts coffee dream couldnt better
74,74,La Crete,Paris,4.5,great atmosphere great greek meal paris
75,75,La Cuisine de Philippe,Paris,4.5,wonderful dinner best souffl╠⌐ !
76,76,La Mandigotte,Paris,4.5,perfect take traditional bistro great quality good price fri...
77,77,Chez Imogene,Paris,4.5,best bang buck! wonderful!
78,78,Bistrotters,Paris,4.5,tout simplement exquis - simply exquisite parisian treat!
79,79,L'Alsacien,Paris,4.5,delicious fun great value pizza
80,80,Cobea,Paris,4.5,oh my!! quaint parisian fine dining
81,81,Le Quinzieme,Paris,4.5,perfect paris stunning! one top dining experiences...
82,82,Le Pavillon de la Grande Cascade,Paris,4.5,fantastic setting amazing food beautiful setting quality food
83,83,Loubnane,Paris,4.5,awesome restaurant vibrant atmosphere! good food round
84,84,L'Aubergeade,Paris,4.5,amazing great service brilliant food wonderful french cuisine familiar ath...
85,85,Thai Spices,Paris,4.5,excellent thai food best thai food paris
86,86,Les Climats,Paris,4.5,love great food terrific burgun... great wine list good food
87,87,Au Bon Accueil,Paris,4.5,excellent restaurant fab family dinner
88,88,Papelli,Paris,5.0,fantastic! delicious pizza
89,89,Sur Mesure,Paris,4.5,delicious original cosy... best experience...
90,90,Bistrot Chez France,Paris,4.5,excellent- favorite local restaurant favorite restaurant paris!
91,91,The Hardware Societe,Paris,4.5,gorgeous cafe! best breakfast town
92,92,Roomies,Paris,4.5,tourist trap! nice burger fries
93,93,Midi 12,Paris,4.5,nice french restaurant reccomend
94,94,Mobster Diner,Paris,4.5,good homemade burgers great
95,95,L'Ange 20,Paris,4.5,good.....the second time! dependable bistrot le marais
96,96,Les Rupins,Paris,4.5,welcoming place tasty food great find amazing offer (40% off)
97,97,Mancora Cebicheria,Paris,4.5,super ceviche warm staff! amazing food! #foodcoma #yum
98,98,le papacionu,Paris,4.5,amazing popular pizza restaurant
99,99,L'Annexe,Paris,4.5,special family dinner wonderful montmar... good choice
100,100,Pottoka,Paris,4.5,french tapas? another top-notch dinner!!!
101,101,Jean Yves of Chef Jean-Yves' Table,Paris,5.0,wonderful experience! dining experience remember.
102,102,Fermier Gourmet,Paris,4.5,small cozy place wow amazing food
103,103,A L'endroit,Paris,4.5,excellent bistro out-of-the-way loca... absolutely delicious
104,104,Comptoir Gourmet,Paris,4.5,good quality fine atmosphere rather e... two years later - quality went even hi...
105,105,Chez Max et Nico,Paris,4.5,relaxed warm ambience - good value lovely dinner paris
106,106,L'Arcane,Paris,5.0,sensational simply brilliant!
107,107,Le Petit Littre,Paris,4.5,best beef tartare ever!! great dinner cosy bistro
108,108,Le Cabanon de la Butte,Paris,4.5,xmas eve cost fabulous views
109,109,Le Jourdain,Paris,4.5,original intimate. must ne... great food service!
110,110,4 Pat,Paris,4.5,great place soooo funny
