,id,name,city,cuisine,rating
0,0,La Meduse,Paris,"french, seafood, european, vegetarian friendly, gluten free options, vegan options",5.0
1,1,Le Cappiello,Paris,"french, mediterranean, european, contemporary, vegetarian friendly, vegan options, gluten free options",5.0
2,2,ASPIC,Paris,"french, european, contemporary",5.0
3,3,Les Apotres de Pigalle,Paris,"south american, brew pub, european, vegetarian friendly, vegan options, gluten free options",5.0
4,4,Epicure,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",5.0
5,5,Sourire Le Restaurant,Paris,"french, european, contemporary, gastropub",5.0
6,6,Le Cinq,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
7,7,Il Etait Un Square,Paris,"french, steakhouse, vegetarian friendly",5.0
8,8,Boutary,Paris,"french, seafood, gastropub, european, fusion, vegetarian friendly, gluten free options",5.0
9,9,Kei Restaurant,Paris,"french, vegetarian friendly, gluten free options",4.5
10,10,Le Gabriel,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
11,11,Bateau le Calife,Paris,"french, european, vegetarian friendly, vegan options",4.5
12,12,L'Affineur' Affine,Paris,"french, european, vegetarian friendly",4.5
13,13,La Bonne Excuse,Paris,"french, european, vegetarian friendly, gluten free options",4.5
14,14,Pur' - Jean-Francois Rouquette,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
15,15,L'Abeille,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
16,16,Alliance,Paris,"french, vegetarian friendly, vegan options, gluten free options",5.0
17,17,Sacree fleur,Paris,"french, steakhouse, european",4.5
18,18,Le 114 Faubourg,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
19,19,Restaurant H,Paris,"french, european, vegetarian friendly, gluten free options",5.0
20,20,Restaurant L'INITIAL,Paris,"french, european",4.5
21,21,Pierre Gagnaire,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
22,22,Etude,Paris,"french, vegetarian friendly, vegan options, gluten free options",4.5
23,23,Le Bistrot d'Indochine,Paris,"asian, vietnamese, vegetarian friendly, vegan options",4.5
24,24,Bar Italia Brasserie,Paris,"italian, vegetarian friendly, vegan options",4.5
25,25,Le Bistrot d'Yves,Paris,"french, european, vegetarian friendly",4.5
26,26,Flesh Restaurant et Canal Saint Martin,Paris,"barbecue, american, steakhouse, european, french, gluten free options",4.5
27,27,Paris Picnic,Paris,"french, european, street food, vegetarian friendly, gluten free options, vegan options",4.5
28,28,New Jawad Longchamp,Paris,"indian, pakistani, vegetarian friendly, vegan options, halal, gluten free options",4.5
29,29,Fromagerie Danard,Paris,"wine bar, french, european, vegetarian friendly, gluten free options",4.5
30,30,Le Clos Y,Paris,"french, japanese, european, asian, vegetarian friendly",4.5
31,31,AlKaram,Paris,"lebanese, mediterranean, middle eastern, vegetarian friendly, vegan options, gluten free options",4.5
32,32,Cezembre,Paris,"french, european",4.5
33,33,Le George,Paris,"mediterranean, italian, french, european, vegetarian friendly, vegan options, gluten free options",4.5
34,34,Seb'on,Paris,"french, european",4.5
35,35,Petite Fleur,Paris,"french, european",4.5
36,36,La boite aux lettres,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
37,37,L'Envie du jour,Paris,"french, european, vegetarian friendly, vegan options",4.5
38,38,Pedzouille,Paris,"french, european",4.5
39,39,Le Taillevent,Paris,"french, european",4.5
40,40,PerBacco,Paris,"italian, pizza, mediterranean, wine bar, european, vegetarian friendly, vegan options",5.0
41,41,Ristorante Lo Spaghettino,Paris,"italian, mediterranean, european, vegetarian friendly, vegan options",4.5
42,42,La Trattoria Dell'isola,Paris,"italian, pizza, seafood, vegetarian friendly",4.5
43,43,Tous,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
44,44,Les Canailles,Paris,"french, european",4.5
45,45,Pop's,Paris,"italian, french, vegetarian friendly, vegan options",4.5
46,46,New York a Paris,Paris,"french, american, european, vegetarian friendly, gluten free options",4.5
47,47,La Petite Rose des Sables,Paris,"french, european, vegetarian friendly",4.5
48,48,Pane olio e pomodoro,Paris,"italian, mediterranean, european, vegetarian friendly, vegan options",4.5
49,49,La Veraison,Paris,"french, fusion, vegetarian friendly, vegan options",4.5
50,50,La Vache et Le Cuisinier,Paris,"french, european, vegetarian friendly",4.5
51,51,Le Florimond,Paris,"french, european, vegetarian friendly, gluten free options",4.5
52,52,Happy Caffe,Paris,"french, cafe, fast food, european, vegetarian friendly, vegan options, gluten free options",4.5
53,53,Le Jeroboam,Paris,"french, european, contemporary, gastropub, seafood, pub",4.5
54,54,Pizza Julia,Paris,"italian, pizza, vegetarian friendly, vegan options",4.5
55,55,Mancini,Paris,"italian, pizza, european, vegetarian friendly",4.5
56,56,Le Chemise,Paris,"contemporary, gastropub, french, european",4.5
57,57,Joe Burger,Paris,"american, fast food, vegetarian friendly, vegan options",4.5
58,58,Bistro Paradis,Paris,"french, european, vegetarian friendly, vegan options",4.5
59,59,Restaurant Guy Savoy,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
60,60,Chez Toinette,Paris,"french, european",4.5
61,61,Auberge des Pyrenees Cevennes,Paris,"french, european",4.5
62,62,Les Trublions,Paris,"french, european, contemporary, vegetarian friendly, vegan options, gluten free options",4.5
63,63,Ristorante Al Caratello,Paris,"italian, european, vegetarian friendly, vegan options, gluten free options",4.5
64,64,Restaurant Mariette,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
65,65,Chez Trassoudaine,Paris,"french, european",4.5
66,66,Invictus,Paris,"french, european, vegetarian friendly, gluten free options",4.5
67,67,Les Papilles,Paris,"french, european, delicatessen",4.5
68,68,King Marcel - Paris 2eme,Paris,"french, american, fast food, vegetarian friendly",4.5
69,69,Chez Gabrielle,Paris,"french, european",4.5
70,70,Apicius,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
71,71,Papelli,Paris,"italian, pizza, vegetarian friendly, vegan options",4.5
72,72,Ze Kitchen Galerie,Paris,"french, european, asian, contemporary, vegetarian friendly",4.5
73,73,L'Oiseau Blanc Restaurant,Paris,"french, european, vegetarian friendly, gluten free options",4.5
74,74,La Crete,Paris,"mediterranean, greek, vegetarian friendly, vegan options",4.5
75,75,La Cuisine de Philippe,Paris,"french, european, vegetarian friendly",4.5
76,76,La Mandigotte,Paris,"french, european, vegetarian friendly",4.5
77,77,Chez Imogene,Paris,"french, vegetarian friendly, vegan options, gluten free options",4.5
78,78,Bistrotters,Paris,"french, european, vegetarian friendly, vegan options, gluten free options",4.5
79,79,L'Alsacien,Paris,"wine bar, french, european, brew pub, vegetarian friendly, vegan options",4.5
80,80,Cobea,Paris,"french, european",4.5
81,81,Le Quinzieme,Paris,"french, european, vegetarian friendly",4.5
82,82,Le Pavillon de la Grande Cascade,Paris,"french, european, vegetarian friendly, gluten free options",4.5
83,83,Loubnane,Paris,"lebanese, mediterranean, middle eastern, vegetarian friendly, vegan options, gluten free options",4.5
